MatchID,WorldCupYear,Stage,Date,Stadium,HomeTeam,AwayTeam,HomeGoals,AwayGoals,TotalGoals,Winner,Attendance
324,2026,Group,2026-06-06,Stadium 324,BHR,SAU,0,2,2,SAU,66466
325,2026,Group,2026-06-01,Stadium 325,BHR,SUI,0,2,2,SUI,46229
326,2026,Group,2026-06-18,Stadium 326,KSA,SAU,1,2,3,SAU,50655
327,2026,Group,2026-06-09,Stadium 327,KSA,SUI,0,2,2,SUI,31294
328,2026,Group,2026-06-08,Stadium 328,SAU,SUI,1,4,5,SUI,79016
329,2026,Round16,2026-07-01,Stadium 329,NED,URU,1,2,3,URU,79509
330,2026,Round16,2026-07-10,Stadium 330,FRA,GER,1,2,3,GER,78272
331,2026,Round16,2026-07-03,Stadium 331,ENG,JPN,2,0,2,ENG,57475
332,2026,Round16,2026-07-06,Stadium 332,POR,COL,0,3,3,COL,69943
333,2026,Round16,2026-07-09,Stadium 333,CRO,BEL,0,1,1,BEL,64897
334,2026,Round16,2026-07-06,Stadium 334,MEX,USA,1,2,3,USA,56393
335,2026,Round16,2026-07-05,Stadium 335,ESP,ITA,1,0,1,ESP,58479
336,2026,Round16,2026-07-10,Stadium 336,ARG,BRA,2,2,4,BRA,74149
337,2026,Quarter,2026-07-05,Stadium 337,URU,GER,0,3,3,GER,57269
338,2026,Quarter,2026-07-04,Stadium 338,ENG,COL,3,1,4,ENG,76046
339,2026,Quarter,2026-07-04,Stadium 339,BEL,USA,1,0,1,BEL,60620
340,2026,Quarter,2026-07-06,Stadium 340,ESP,BRA,1,1,2,BRA,57978
341,2026,Semi,2026-07-08,Stadium 341,GER,ENG,0,2,2,ENG,51633
342,2026,Semi,2026-07-02,Stadium 342,BEL,BRA,0,1,1,BRA,76742
343,2026,Final,2026-07-07,Stadium 343,ENG,BRA,1,0,1,ENG,60222
344,2026,ThirdPlace,2026-07-15,Stadium 344,GER,BEL,4,0,4,GER,57045
